id,Repository,Address,Description,Stars,Language,Updated,other
1,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,140.9k,Java,10/22,
2,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,112.9k,Java,10/28,
3,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,110.8k,Python,10/27,
4,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode not only how  but also why.,97.6k,-,10/31,
5,justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,📚 免费的计算机编程类中文书籍，欢迎投稿,83.7k,-,09/08,
6,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,67.5k,Java,06/24,
7,doocs/advanced-java,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers   互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,58.3k,Java,10/24,
8,xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome,后端架构师技术图谱,54.6k,-,09/08,
9,macrozheng/mall,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,53.7k,Java,10/31,
10,bailicangdu/vue2-elm,https://github.com/bailicangdu/vue2-elm,基于 vue2 + vuex 构建一个具有 45 个页面的大型单页面应用,37.1k,Vue,09/13,
11,justjavac/awesome-wechat-weapp,https://github.com/justjavac/awesome-wechat-weapp,微信小程序开发资源汇总 :100:,36.4k,-,10/14,
12,chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,The most comprehensive database of Chinese poetry 🧶最全中华古诗词数据库、唐宋两朝近一万四千古诗人、接近5.5万首唐诗加26万宋诗.  两宋时期1564位词人、21050首词。,34.3k,JavaScript,10/09,
13,apachecn/AiLearning,https://github.com/apachecn/AiLearning,AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP,31.8k,Python,09/07,
14,fighting41love/funNLP,https://github.com/fighting41love/funNLP,中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取 ...,34.5k,Python,08/20,
15,dcloudio/uni-app,https://github.com/dcloudio/uni-app,uni-app 是使用 Vue 语法开发小程序、H5、App的统一框架,34.1k,JavaScript,10/31,
16,0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,2021年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,32.7k,Python,08/25,
17,testerSunshine/12306,https://github.com/testerSunshine/12306,12306智能刷票，订票,30.3k,Python,08/25,
18,NervJS/taro,https://github.com/NervJS/taro,开放式跨端跨框架解决方案，支持使用 React/Vue/Nerv 等框架来开发微信/京东/百度/支付宝/字节跳动/ QQ 小程序/H5/React Native 等应用。  https://taro.zone/,29.9k,JavaScript,10/31,
19,xitu/gold-miner,https://github.com/xitu/gold-miner,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,29.7k,-,10/30,
20,alibaba/arthas,https://github.com/alibaba/arthas,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,27.5k,Java,10/29,
21,shengxinjing/programmer-job-blacklist,https://github.com/shengxinjing/programmer-job-blacklist,:see_no_evil:程序员找工作黑名单，换工作和当技术合伙人需谨慎啊 更新有赞,27.4k,Shell,08/10,
